lat,lon,rainRate
14.1,107.1,0.02
14.1,107.2,0.02
14.1,107.3,0.02
14.1,107.4,0.00
14.1,107.5,0.00
14.1,107.6,0.00
14.1,107.7,0.00
14.1,107.8,0.00
14.1,107.9,0.00
14.1,108.0,0.00
14.1,108.1,0.00
14.1,108.2,0.00
14.1,108.3,0.00
14.1,108.4,0.00
14.1,108.5,0.00
14.1,108.6,0.00
14.1,108.7,0.00
14.1,108.8,0.00
14.1,108.9,0.00
14.2,107.1,0.33
14.2,107.2,0.28
14.2,107.3,0.07
14.2,107.4,0.07
14.2,107.5,0.00
14.2,107.6,0.00
14.2,107.7,0.00
14.2,107.8,0.05
14.2,107.9,0.07
14.2,108.0,0.33
14.2,108.1,0.32
14.2,108.2,0.32
14.2,108.3,0.35
14.2,108.4,0.31
14.2,108.5,0.00
14.2,108.6,0.00
14.2,108.7,0.00
14.2,108.8,0.00
14.2,108.9,0.00
14.3,107.1,3.59
14.3,107.2,3.21
14.3,107.3,1.62
14.3,107.4,0.14
14.3,107.5,0.06
14.3,107.6,0.00
14.3,107.7,0.00
14.3,107.8,0.12
14.3,107.9,0.10
14.3,108.0,0.37
14.3,108.1,0.40
14.3,108.2,0.73
14.3,108.3,0.72
14.3,108.4,0.39
14.3,108.5,0.00
14.3,108.6,0.00
14.3,108.7,0.00
14.3,108.8,0.00
14.3,108.9,0.00
14.4,107.1,5.41
14.4,107.2,5.20
14.4,107.3,3.58
14.4,107.4,3.52
14.4,107.5,0.25
14.4,107.6,0.23
14.4,107.7,0.00
14.4,107.8,0.00
14.4,107.9,0.94
14.4,108.0,0.30
14.4,108.1,0.14
14.4,108.2,0.43
14.4,108.3,0.69
14.4,108.4,0.04
14.4,108.5,0.15
14.4,108.6,0.28
14.4,108.7,0.01
14.4,108.8,0.03
14.4,108.9,0.23
14.5,107.1,7.96
14.5,107.2,6.73
14.5,107.3,7.02
14.5,107.4,4.10
14.5,107.5,0.76
14.5,107.6,0.45
14.5,107.7,0.18
14.5,107.8,0.11
14.5,107.9,2.76
14.5,108.0,2.27
14.5,108.1,4.27
14.5,108.2,5.24
14.5,108.3,5.74
14.5,108.4,3.51
14.5,108.5,0.89
14.5,108.6,0.15
14.5,108.7,0.03
14.5,108.8,0.04
14.5,108.9,0.00
14.6,107.1,5.33
14.6,107.2,6.69
14.6,107.3,5.59
14.6,107.4,3.36
14.6,107.5,0.38
14.6,107.6,0.50
14.6,107.7,0.00
14.6,107.8,0.14
14.6,107.9,2.45
14.6,108.0,2.57
14.6,108.1,4.70
14.6,108.2,6.29
14.6,108.3,9.56
14.6,108.4,6.87
14.6,108.5,1.46
14.6,108.6,0.00
14.6,108.7,0.00
14.6,108.8,0.00
14.6,108.9,0.00
14.7,107.1,1.11
14.7,107.2,0.90
14.7,107.3,2.32
14.7,107.4,3.26
14.7,107.5,0.16
14.7,107.6,1.93
14.7,107.7,2.50
14.7,107.8,2.35
14.7,107.9,4.60
14.7,108.0,5.54
14.7,108.1,9.59
14.7,108.2,12.12
14.7,108.3,19.54
14.7,108.4,11.97
14.7,108.5,0.00
14.7,108.6,0.00
14.7,108.7,0.00
14.7,108.8,0.00
14.7,108.9,0.00
14.8,107.1,0.84
14.8,107.2,0.67
14.8,107.3,2.61
14.8,107.4,3.11
14.8,107.5,5.10
14.8,107.6,5.44
14.8,107.7,5.73
14.8,107.8,6.41
14.8,107.9,8.09
14.8,108.0,12.00
14.8,108.1,11.58
14.8,108.2,18.69
14.8,108.3,29.09
14.8,108.4,26.52
14.8,108.5,10.91
14.8,108.6,1.28
14.8,108.7,0.00
14.8,108.8,0.00
14.8,108.9,0.00
14.9,107.1,1.06
14.9,107.2,0.12
14.9,107.3,3.01
14.9,107.4,2.78
14.9,107.5,5.46
14.9,107.6,5.20
14.9,107.7,6.07
14.9,107.8,7.90
14.9,107.9,8.77
14.9,108.0,12.23
14.9,108.1,16.53
14.9,108.2,18.82
14.9,108.3,30.03
14.9,108.4,22.87
14.9,108.5,4.83
14.9,108.6,3.08
14.9,108.7,0.00
14.9,108.8,0.00
14.9,108.9,0.00
15.0,107.1,0.56
15.0,107.2,0.31
15.0,107.3,0.18
15.0,107.4,3.19
15.0,107.5,3.79
15.0,107.6,6.52
15.0,107.7,7.39
15.0,107.8,9.14
15.0,107.9,9.06
15.0,108.0,13.54
15.0,108.1,14.61
15.0,108.2,22.63
15.0,108.3,33.94
15.0,108.4,12.68
15.0,108.5,3.57
15.0,108.6,1.62
15.0,108.7,0.00
15.0,108.8,0.00
15.0,108.9,0.00
15.1,107.1,0.40
15.1,107.2,0.23
15.1,107.3,0.16
15.1,107.4,2.39
15.1,107.5,3.07
15.1,107.6,6.16
15.1,107.7,6.02
15.1,107.8,8.49
15.1,107.9,9.85
15.1,108.0,12.20
15.1,108.1,23.99
15.1,108.2,47.25
15.1,108.3,48.00
15.1,108.4,26.27
15.1,108.5,10.48
15.1,108.6,0.00
15.1,108.7,0.00
15.1,108.8,0.00
15.1,108.9,0.00
15.2,107.1,0.17
15.2,107.2,0.17
15.2,107.3,0.13
15.2,107.4,0.57
15.2,107.5,0.66
15.2,107.6,1.21
15.2,107.7,2.70
15.2,107.8,5.60
15.2,107.9,9.59
15.2,108.0,14.40
15.2,108.1,16.10
15.2,108.2,23.48
15.2,108.3,28.08
15.2,108.4,10.06
15.2,108.5,7.69
15.2,108.6,0.00
15.2,108.7,0.00
15.2,108.8,0.00
15.2,108.9,0.00
15.3,107.1,0.74
15.3,107.2,0.61
15.3,107.3,0.00
15.3,107.4,0.00
15.3,107.5,0.00
15.3,107.6,0.35
15.3,107.7,3.36
15.3,107.8,5.18
15.3,107.9,6.45
15.3,108.0,8.35
15.3,108.1,3.66
15.3,108.2,10.10
15.3,108.3,10.56
15.3,108.4,5.03
15.3,108.5,2.31
15.3,108.6,0.00
15.3,108.7,0.00
15.3,108.8,0.00
15.3,108.9,0.00
15.4,107.1,1.02
15.4,107.2,0.66
15.4,107.3,0.00
15.4,107.4,0.00
15.4,107.5,0.75
15.4,107.6,1.94
15.4,107.7,5.46
15.4,107.8,4.07
15.4,107.9,3.19
15.4,108.0,0.00
15.4,108.1,0.12
15.4,108.2,0.00
15.4,108.3,0.06
15.4,108.4,1.72
15.4,108.5,0.00
15.4,108.6,0.00
15.4,108.7,0.00
15.4,108.8,0.00
