lat,lon,rainRate
14.0,107.0,73.975888297
14.0,107.1,80.8309450486
14.0,107.2,87.3662294448
14.0,107.3,84.543909073
14.0,107.4,91.9330256582
14.0,107.5,77.0372955948
14.0,107.6,83.2342156022
14.0,107.7,80.091276437
14.0,107.8,90.7168655544
14.0,107.9,96.2732131406
14.0,108.0,97.7338165642
14.0,108.1,96.762405809
14.0,108.2,99.6690860242
14.0,108.3,112.123942059
14.0,108.4,118.509365793
14.0,108.5,114.544580843
14.0,108.6,112.442011312
14.0,108.7,112.257640902
14.0,108.8,105.918634761
14.0,108.9,111.104875635
14.0,109.0,111.296863932
14.1,107.0,116.38964967
14.1,107.1,118.379989651
14.1,107.2,115.012307898
14.1,107.3,120.282512961
14.1,107.4,126.303699911
14.1,107.5,131.114893902
14.1,107.6,144.91747033
14.1,107.7,149.87196803
14.1,107.8,155.438139673
14.1,107.9,145.808237968
14.1,108.0,126.768698137
14.1,108.1,119.859557793
14.1,108.2,110.182206754
14.1,108.3,91.9652051702
14.1,108.4,82.9920056462
14.1,108.5,80.6348134318
14.1,108.6,76.6846371888
14.1,108.7,66.6707010158
14.1,108.8,64.5596436895
14.1,108.9,65.8346090018
14.1,109.0,71.4171745776
14.2,107.0,93.9527030458
14.2,107.1,108.846310113
14.2,107.2,105.430624835
14.2,107.3,113.408854779
14.2,107.4,111.637077011
14.2,107.5,114.848196013
14.2,107.6,128.809444131
14.2,107.7,135.606066763
14.2,107.8,130.315909244
14.2,107.9,141.828728367
14.2,108.0,131.313953703
14.2,108.1,127.312133426
14.2,108.2,135.37237276
14.2,108.3,131.687491572
14.2,108.4,130.289103694
14.2,108.5,125.316096017
14.2,108.6,119.831638288
14.2,108.7,117.491366867
14.2,108.8,119.750867754
14.2,108.9,126.471439892
14.2,109.0,124.04213938
14.3,107.0,93.4269814118
14.3,107.1,92.2741879598
14.3,107.2,94.2399346234
14.3,107.3,85.9361476517
14.3,107.4,81.0657977045
14.3,107.5,77.6921411789
14.3,107.6,90.9219070925
14.3,107.7,88.6769413109
14.3,107.8,98.3517603055
14.3,107.9,96.0767282546
14.3,108.0,100.556994846
14.3,108.1,96.3434223869
14.3,108.2,96.8946052027
14.3,108.3,104.089798356
14.3,108.4,98.940485861
14.3,108.5,91.0545408055
14.3,108.6,83.9776691237
14.3,108.7,88.4981699302
14.3,108.8,92.6343395635
14.3,108.9,88.8364143893
14.3,109.0,98.1973432862
14.4,107.0,95.2589248716
14.4,107.1,91.2585072218
14.4,107.2,82.6111357658
14.4,107.3,81.9507719501
14.4,107.4,84.4379018246
14.4,107.5,78.7493752241
14.4,107.6,86.5866213442
14.4,107.7,93.2922079637
14.4,107.8,93.8716963829
14.4,107.9,89.1811621562
14.4,108.0,92.8623977378
14.4,108.1,80.6346095054
14.4,108.2,75.0157570783
14.4,108.3,88.4506879001
14.4,108.4,92.3587357392
14.4,108.5,101.618808727
14.4,108.6,103.911445811
14.4,108.7,113.295976125
14.4,108.8,109.794974349
14.4,108.9,100.43767684
14.4,109.0,97.7716251835
14.5,107.0,58.7268813103
14.5,107.1,61.34806332
14.5,107.2,72.3538242504
14.5,107.3,68.4918150454
14.5,107.4,82.026903391
14.5,107.5,65.97846888
14.5,107.6,56.497040257
14.5,107.7,63.6154662854
14.5,107.8,57.271619238
14.5,107.9,59.4470624314
14.5,108.0,60.5158961938
14.5,108.1,55.3657695874
14.5,108.2,70.3383225538
14.5,108.3,77.3617231082
14.5,108.4,73.2596779363
14.5,108.5,78.7860084689
14.5,108.6,71.5311824251
14.5,108.7,70.7713069171
14.5,108.8,74.5513872151
14.5,108.9,80.5837471224
14.5,109.0,95.2207733988
14.6,107.0,29.8129432798
14.6,107.1,29.279922679
14.6,107.2,36.1020147802
14.6,107.3,47.9508892001
14.6,107.4,56.2955234796
14.6,107.5,44.2710050494
14.6,107.6,50.1016010642
14.6,107.7,55.7927262782
14.6,107.8,51.7840486764
14.6,107.9,56.9280240833
14.6,108.0,61.6032669358
14.6,108.1,71.8429432063
14.6,108.2,70.8649264836
14.6,108.3,73.2070962041
14.6,108.4,70.527640284
14.6,108.5,64.3795111812
14.6,108.6,67.4973637908
14.6,108.7,57.5241856723
14.6,108.8,53.7732146933
14.6,108.9,54.5790686141
14.6,109.0,55.034003173
14.7,107.0,46.8382238969
14.7,107.1,44.7191790194
14.7,107.2,42.6968015582
14.7,107.3,47.0012019574
14.7,107.4,50.933463335
14.7,107.5,47.3173080682
14.7,107.6,40.4566268028
