Tra My,Kham Duc,Tien Phuoc,Nong Son,Thanh My,Giao Thuy,Cau Lau,Hoi An,Ai Nghia,Cam Le,Da Nang
-1.50,-1.50,-1.50,-1.50,-1.50,-1.50,-1.50,-1.50,-1.50,-1.50,-1.50
-1.50,-1.50,-1.50,-1.50,-1.50,-1.50,-1.50,-1.50,-1.50,-1.50,-1.50
-1.50,-1.50,-1.50,-1.50,-1.50,-1.50,-1.50,-1.50,-1.50,-1.50,-1.50
-1.50,-1.50,-1.50,-1.50,-1.50,-1.50,-1.50,-1.50,-1.50,-1.50,-1.50
-1.50,-1.50,-1.50,-1.50,-1.50,-1.50,-1.50,-1.50,-1.50,-1.50,-1.50
2.18,0.79,0.91,1.59,2.16,1.10,1.41,1.72,0.94,1.54,1.65
2.05,0.89,0.90,1.80,1.68,1.47,0.67,0.87,0.94,0.84,0.83
2.14,1.12,1.61,1.81,2.09,1.93,0.96,1.13,1.43,1.26,1.17
1.20,0.61,0.61,1.09,1.22,0.71,-0.20,-0.04,0.37,-0.04,-0.08
1.01,0.83,1.84,1.93,1.70,1.58,0.59,0.72,0.91,0.12,0.14
0.80,0.84,1.40,1.42,0.69,0.90,0.28,0.60,0.35,0.01,-0.11
0.95,0.85,1.59,1.50,0.64,1.09,0.64,0.92,0.37,0.24,0.24
0.88,0.69,1.28,1.16,0.80,0.86,0.60,0.88,0.35,0.31,0.33
0.85,0.59,0.97,1.06,0.20,0.61,0.54,0.87,0.18,0.13,0.21
1.14,0.83,1.51,1.49,1.18,1.16,1.11,1.35,0.73,0.84,0.82
1.38,0.85,0.86,0.97,0.47,0.51,0.62,0.88,0.09,0.67,0.64
1.47,0.55,1.24,1.12,1.27,1.06,1.50,1.59,0.81,1.82,2.05
0.81,0.08,1.43,0.94,0.61,0.95,1.09,0.92,1.06,1.58,1.85
0.98,-0.21,1.51,0.50,-0.00,0.76,1.49,1.02,0.97,1.64,2.03
1.29,-0.23,1.56,1.32,1.25,1.17,1.76,1.60,1.41,1.94,2.52
-0.21,-1.16,-0.20,-0.49,-0.40,-0.22,0.11,0.04,-0.06,0.46,0.63
-0.47,-1.13,0.19,0.20,0.39,-0.09,0.44,0.38,0.21,0.75,0.75
-1.22,-1.28,-0.82,-0.39,-0.28,-0.63,-0.21,-0.01,-0.41,-0.30,-0.06
-0.95,-1.10,-0.46,-0.21,-0.05,-0.38,-0.74,0.38,-0.35,-0.04,0.05
-0.77,-0.85,-0.35,0.01,0.16,-0.17,-0.67,0.41,-0.27,0.07,0.16
-0.91,-0.86,-0.55,-0.49,-0.61,-0.43,-0.96,0.02,-0.46,-0.30,-0.25
-0.66,-0.60,-0.01,0.09,0.20,0.05,-0.33,0.65,-0.01,0.23,0.24
-1.01,-0.84,-0.59,-0.57,-0.56,-0.20,-1.05,0.62,-0.40,-0.08,-0.02
