Tra My,Kham Duc,Tien Phuoc,Nong Son,Thanh My,Giao Thuy,Cau Lau,Hoi An,Ai Nghia,Cam Le,Da Nang
-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57
-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57
-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57
-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57
-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57
-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57
-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57
-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57
-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57
-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57
-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57
1.12,0.97,1.10,1.44,1.24,1.40,0.90,1.18,0.53,0.55,0.55
1.13,0.92,1.34,1.54,1.33,1.31,0.61,0.84,0.49,0.41,0.40
1.15,0.91,1.43,1.58,1.31,1.35,0.65,0.89,0.51,0.38,0.38
1.26,1.02,1.79,1.81,1.66,1.50,0.76,0.96,0.66,0.49,0.48
1.15,0.98,1.53,1.64,1.26,1.21,0.51,0.66,0.42,0.26,0.28
1.12,0.93,1.58,1.56,1.03,1.19,0.62,0.74,0.40,0.56,0.47
1.03,0.84,1.38,1.52,0.91,1.25,0.69,0.77,0.52,0.52,0.56
0.97,0.68,1.30,1.18,0.72,0.94,0.68,0.71,0.42,0.45,0.51
1.01,0.61,1.17,1.38,0.81,0.84,0.76,0.84,0.42,0.55,0.70
0.91,0.51,1.03,1.15,0.75,0.79,0.65,0.73,0.37,0.55,0.65
0.74,0.28,0.80,0.83,0.57,0.35,0.44,0.47,0.06,0.62,0.67
0.22,-0.27,0.51,0.53,0.30,0.07,0.39,0.46,-0.04,0.42,0.57
0.03,-0.46,0.51,0.37,0.22,0.05,-0.34,0.45,0.00,0.33,0.45
-0.12,-0.59,0.43,0.32,0.08,0.03,-0.27,0.48,-0.03,0.41,0.50
-0.19,-0.65,0.36,0.28,0.07,-0.03,-0.32,0.43,-0.04,0.31,0.42
-0.32,-0.77,-0.09,-0.02,-0.15,-0.25,-0.45,0.35,-0.21,0.18,0.30
-0.33,-0.78,-0.08,0.01,-0.16,-0.21,-0.46,0.35,-0.20,0.20,0.31
-0.52,-0.76,-0.24,-0.25,-0.33,-0.48,-0.79,0.00,-0.58,-0.23,-0.00
-0.49,-0.83,-0.09,-0.23,0.06,-0.47,-0.86,0.01,-0.75,-0.32,-0.14
-0.50,-0.90,-0.15,-0.20,-0.11,-0.41,-0.90,-0.03,-0.76,-0.32,-0.17
-0.51,-0.57,-0.07,-0.31,-0.18,-0.26,-0.90,-0.03,-0.64,-0.39,-0.35
-0.17,-0.25,0.58,0.36,0.41,0.38,-0.20,0.53,-0.16,0.28,0.18
-0.39,-0.60,0.41,0.47,0.29,0.34,-0.72,0.37,-0.49,0.04,-0.06
0.02,-0.29,0.63,0.73,0.32,0.65,-0.50,0.74,-0.11,0.52,0.22
-0.15,-0.59,0.32,0.37,0.08,0.04,-0.25,0.33,-0.65,0.18,-0.12
-0.31,-0.68,0.23,0.28,0.02,-0.03,-0.19,0.34,-0.47,0.27,-0.02
-0.28,-0.65,0.22,0.33,0.06,0.02,-0.19,0.32,-0.44,0.20,-0.07
-0.29,-0.61,0.22,0.32,-0.18,0.02,-0.17,0.38,-0.45,0.24,-0.04
-0.27,-0.76,0.34,0.48,-0.09,0.05,-0.17,0.39,-0.41,0.23,-0.04
-0.25,-0.78,0.23,0.57,0.07,0.17,-0.12,0.48,-0.40,0.34,0.05
-0.22,-0.76,0.23,0.53,-0.16,0.06,-0.17,0.33,-0.43,0.29,0.03
-0.12,-0.79,0.27,0.62,0.05,0.15,-0.18,0.29,-0.40,0.23,-0.02
-0.25,-1.13,0.21,0.40,-0.71,-0.25,-0.40,-0.08,-0.63,-0.07,-0.39
-0.34,-1.33,-0.20,0.15,-0.86,-0.42,-0.50,-0.27,-0.63,-0.32,-0.41
0.15,-0.93,0.32,-0.06,-1.23,-0.62,-0.70,-0.32,-0.78,-0.51,-0.70
0.34,-0.27,0.22,-0.10,-0.73,-0.52,-0.78,-0.89,-0.63,-0.90,-0.87
0.23,-0.11,0.11,-0.06,-0.97,-0.70,-1.21,-1.47,-0.72,-1.21,-1.18
0.21,-0.15,0.10,-0.06,-0.92,-0.44,-0.75,-0.96,-0.43,-0.79,-0.82
0.19,-0.13,0.05,-0.13,-0.98,-0.54,-0.74,-0.95,-0.49,-0.79,-0.82
0.18,-0.14,0.07,-0.09,-0.97,-0.62,-0.82,-1.04,-0.54,-0.87,-0.87
0.25,-0.03,0.02,-0.20,-0.90,-0.59,-0.81,-1.04,-0.57,-0.85,-0.87
0.29,0.03,0.01,0.01,-0.80,-0.36,-0.81,-1.14,-0.47,-1.04,-0.99
0.39,0.19,0.07,0.06,-0.91,-0.24,-0.52,-0.93,-0.34,-0.81,-0.90
0.47,0.35,0.36,0.31,-0.13,-0.06,-0.24,-0.74,-0.16,-0.49,-0.60
0.65,0.52,0.23,0.30,0.05,-0.08,-0.35,-0.78,-0.19,-0.64,-0.62
0.55,0.59,0.20,0.05,0.02,-0.39,-0.51,-0.91,-0.38,-0.86,-0.98
0.29,0.38,-0.12,-0.03,-0.24,-0.81,-0.81,-1.26,-0.73,-1.27,-1.36
0.36,0.38,0.36,0.35,0.12,-0.54,-0.79,-1.30,-0.57,-1.27,-1.32
0.15,0.07,-0.03,-0.02,-0.22,-0.91,-1.09,-2.08,-0.99,-1.81,-1.93
-0.01,-0.06,-0.40,-0.25,-0.36,-1.02,-1.06,-1.45,-0.89,-1.36,-1.39
0.01,-0.04,-0.28,-0.23,-0.37,-1.05,-1.06,-1.45,-0.90,-1.31,-1.37
0.09,0.00,-0.21,-0.25,-0.36,-1.06,-1.09,-1.45,-0.94,-1.31,-1.35
-0.01,-0.17,-0.19,-0.19,-0.53,-1.06,-1.10,-1.45,-0.94,-1.29,-1.34
-0.00,-0.08,-0.29,-0.37,-0.86,-1.32,-1.18,-1.46,-1.07,-1.33,-1.39
-0.09,-0.18,-0.37,-0.47,-1.09,-1.43,-1.39,-1.52,-1.22,-1.46,-1.46
-0.20,-0.20,-0.56,-0.58,-1.36,-1.44,-1.44,-1.53,-1.22,-1.49,-1.51
-0.37,-0.28,-0.54,-0.62,-1.36,-1.42,-1.37,-1.49,-1.04,-1.39,-1.43
-0.19,0.01,-0.43,-0.19,-0.82,-1.20,-1.18,-1.31,-0.89,-1.26,-1.29
0.88,0.79,0.13,0.59,-0.08,-0.84,-1.01,-1.11,-0.26,-1.23,-1.25
0.75,0.43,-0.19,0.24,-0.59,-0.43,-0.68,-0.39,-0.18,-1.00,-0.94
0.99,0.92,0.29,0.43,-0.61,-0.19,-0.40,-0.21,-0.07,-0.50,-0.94
1.20,1.05,0.26,0.45,-0.67,-0.10,-0.16,0.04,0.06,-0.24,-0.63
1.30,1.23,0.30,0.64,-0.60,0.24,-0.10,0.09,0.33,-0.22,-0.59
1.26,1.16,0.21,0.60,-0.59,0.17,-0.14,0.05,0.32,-0.26,-0.65
1.29,1.22,0.22,0.74,-0.63,0.20,-0.15,0.04,0.30,-0.26,-0.65
1.36,1.22,0.36,0.79,-0.79,0.42,-0.12,0.07,0.35,-0.26,-0.61
1.31,1.28,0.28,0.77,-0.49,0.42,-0.06,0.09,0.32,-0.27,-0.63
1.33,1.31,0.33,0.76,-0.67,0.33,0.06,0.15,0.16,-0.40,-0.65
1.35,1.38,0.58,0.85,-0.38,0.50,0.15,0.14,0.49,-0.26,-0.47
1.27,1.26,0.54,0.66,-0.58,0.42,0.24,0.37,0.42,0.03,-0.23
0.41,0.90,-0.16,0.31,-1.01,0.45,0.41,0.41,0.16,0.12,-0.13
0.06,0.63,-0.39,0.13,-0.86,0.11,0.12,-0.17,0.03,-0.13,-0.30
-0.17,0.31,-0.38,0.14,-0.94,0.00,-0.59,-0.26,0.07,-1.14,-0.33
-0.17,0.47,-0.43,0.25,-0.92,0.19,-0.31,-0.04,0.22,-0.80,-0.12
-0.34,0.22,-0.63,-0.00,-1.02,-0.21,-0.38,-0.12,-0.08,-0.83,-0.19
-0.34,0.28,-0.35,0.04,-0.96,0.10,-0.23,-0.00,0.21,-0.67,-0.13
-0.27,0.36,-0.35,-0.22,-1.00,0.09,-0.22,0.07,0.18,-0.61,-0.07
-0.23,0.53,-0.26,-0.04,-0.83,0.07,-0.22,0.07,0.09,-0.41,0.03
-0.14,0.58,-0.19,0.05,-1.00,0.12,-0.17,0.11,0.12,-0.41,0.04
-0.20,0.58,-0.40,0.03,-0.64,0.17,-0.31,-0.01,0.03,-0.40,-0.12
-0.17,0.49,-0.49,0.08,-0.64,-0.02,-0.27,0.09,-0.17,-0.61,-0.38
-0.20,0.47,-0.45,0.06,-0.83,-0.11,-0.36,-0.22,-0.17,-0.72,-0.50
0.33,1.22,-0.04,0.43,0.14,0.56,0.14,0.24,0.81,0.02,0.15
1.22,2.12,1.19,1.46,1.79,1.68,1.34,1.26,1.81,1.08,0.99
0.84,1.79,0.69,1.22,1.93,1.60,1.57,1.06,1.91,1.31,0.85
0.78,1.78,0.49,1.20,1.98,1.43,1.42,1.03,1.70,1.28,0.81
0.83,1.86,0.58,1.25,1.98,1.45,1.43,1.07,1.69,1.16,0.76
0.86,1.86,0.49,1.30,1.96,1.30,1.43,1.11,1.59,1.09,0.74
0.85,1.90,0.58,1.42,2.03,1.39,1.47,1.10,1.52,1.09,0.75
0.86,1.76,0.94,1.46,2.31,1.39,1.45,1.13,1.72,1.06,0.76
0.90,1.65,0.97,1.45,2.43,1.39,1.42,1.11,1.78,1.10,0.77
0.88,1.75,1.05,1.37,2.40,1.32,1.32,1.06,1.86,0.98,0.75
0.86,1.63,0.93,1.33,2.07,1.16,1.05,0.72,1.56,0.80,0.63
0.91,1.55,0.92,1.31,1.96,1.20,0.91,0.69,1.59,0.76,0.58
1.06,1.40,1.74,1.86,2.34,1.76,1.52,1.42,1.83,1.11,0.56
0.63,1.05,1.23,1.11,0.84,0.90,0.92,0.68,1.09,0.71,0.15
0.55,0.84,0.96,0.77,0.28,0.64,0.90,0.68,0.99,0.71,0.12
0.76,1.02,1.59,0.97,0.33,0.74,1.00,0.65,1.09,0.94,0.32
0.71,0.91,1.55,0.96,0.30,0.72,1.00,0.63,1.08,0.81,0.25
0.68,0.97,1.37,0.92,0.45,0.55,0.91,0.47,1.02,0.74,0.20
0.72,1.13,1.75,1.27,1.03,0.88,1.06,0.76,1.52,0.90,0.33
0.82,1.19,1.51,1.21,0.96,0.82,1.02,0.59,1.48,0.79,0.21
0.77,1.20,1.35,1.23,0.93,0.78,0.98,0.66,1.43,0.76,0.21
0.88,1.22,1.48,1.41,0.38,0.80,1.03,0.74,1.37,0.86,0.34
0.86,1.18,1.57,1.35,0.46,0.84,1.02,0.76,1.30,0.93,0.44
1.38,1.79,2.11,1.87,1.70,1.82,2.02,1.74,2.13,1.94,1.54
0.93,1.54,1.58,1.31,1.15,1.75,1.67,1.18,2.02,1.63,1.34
0.85,0.82,1.07,0.82,0.76,0.64,1.04,0.99,1.18,1.12,0.86
0.61,0.58,0.77,0.77,0.82,0.95,1.14,1.02,1.28,1.12,0.81
0.48,0.42,0.71,0.78,0.85,0.88,1.00,0.99,1.06,1.00,0.77
0.46,0.40,0.68,0.76,0.86,0.84,0.97,0.95,1.01,0.84,0.65
0.49,0.29,0.67,0.67,0.63,0.79,0.99,0.95,1.03,0.81,0.63
0.40,0.05,0.13,0.39,0.24,0.38,0.70,0.56,0.43,0.54,0.41
0.17,-0.24,-0.18,0.06,-0.12,0.21,0.44,0.42,0.22,0.63,0.40
0.20,-0.06,-0.17,0.39,0.25,0.47,0.55,0.35,0.32,0.67,0.44
0.16,0.05,-0.26,0.31,0.61,0.52,0.62,0.48,0.35,0.68,0.47
0.24,0.37,-0.14,0.69,0.91,0.78,0.92,0.87,0.59,0.86,0.65
-0.51,-0.46,-1.04,-0.11,-0.39,-0.24,-0.45,-0.42,-0.67,-0.66,-0.77
-0.39,-0.37,-0.52,0.38,0.16,0.55,-0.19,-0.31,-0.50,-0.52,-0.67
0.22,0.06,0.62,0.90,0.39,0.96,0.48,0.38,-0.11,0.05,-0.07
0.10,0.01,0.34,0.55,0.20,0.35,0.17,0.07,-0.54,-0.29,-0.32
0.13,0.03,0.43,0.44,0.04,0.36,0.32,0.18,-0.36,-0.11,-0.20
0.14,0.06,0.45,0.43,-0.01,0.35,0.31,0.19,-0.35,-0.13,-0.20
0.30,0.18,0.58,0.50,0.00,0.34,0.33,0.23,-0.38,-0.13,-0.18
0.32,0.20,0.64,0.50,0.04,0.41,0.41,0.32,-0.41,-0.11,-0.16
0.41,0.37,0.62,0.42,0.54,0.40,0.39,0.27,-0.46,-0.25,-0.14
0.46,0.34,0.64,0.31,0.49,0.31,0.33,0.24,-0.36,-0.19,-0.08
0.37,0.12,0.61,0.07,-0.06,0.03,-0.05,-0.13,-0.56,-0.55,-0.32
0.29,-0.16,0.38,-0.45,-0.73,-0.30,-0.36,-0.54,-0.83,-0.78,-0.51
0.48,0.07,0.44,-0.32,-0.21,0.24,0.28,0.24,-0.24,0.13,0.53
1.05,0.62,0.60,0.06,-0.46,0.36,0.31,0.15,-0.21,0.13,1.39
1.18,0.49,0.29,-0.34,0.12,1.22,0.89,-0.27,0.59,1.03,2.34
1.13,0.53,0.50,-0.18,0.12,1.45,1.18,-0.24,0.78,1.43,2.60
1.21,0.44,0.37,-0.32,0.15,1.42,1.06,-0.19,0.73,1.44,2.57
1.24,0.49,0.47,-0.26,0.17,1.45,1.10,-0.14,0.75,1.30,2.39
1.12,0.36,0.29,-0.32,0.19,1.40,1.10,-0.21,0.74,1.27,2.35
1.20,0.38,0.19,-0.28,0.23,1.47,1.03,-0.24,0.73,1.26,2.32
1.24,0.36,0.49,0.02,0.21,1.46,0.96,-0.28,0.71,1.26,2.31
1.22,0.27,0.47,-0.09,0.08,1.27,0.84,-0.26,0.54,1.13,2.19
1.22,0.35,0.51,0.05,0.18,1.28,0.84,-0.24,0.63,1.12,2.06
1.18,0.38,0.68,0.26,0.67,1.24,0.76,-0.27,0.72,1.00,2.03
1.01,0.22,0.42,0.23,0.11,0.55,0.43,-0.57,0.15,0.67,1.53
0.50,-0.43,0.26,-0.72,-0.26,-0.10,0.15,-1.05,-0.44,0.47,1.00
-0.40,-0.82,-0.39,-0.80,-0.96,-1.37,-0.98,-0.93,-1.35,-0.82,-0.59
-0.69,-1.28,-0.61,-1.17,-1.51,-2.18,-1.86,-1.47,-2.27,-1.63,-1.16
-0.94,-1.32,-1.19,-1.34,-1.43,-1.52,-1.35,-1.12,-1.48,-1.25,-0.96
-0.95,-1.30,-1.19,-1.35,-1.42,-1.51,-1.30,-1.05,-1.46,-1.18,-0.93
-0.77,-1.23,-0.97,-1.32,-1.37,-1.51,-1.31,-1.02,-1.45,-1.16,-0.88
-0.81,-1.17,-0.87,-1.33,-1.31,-1.51,-1.31,-1.06,-1.44,-1.16,-0.89
-0.83,-1.15,-0.97,-1.24,-1.33,-1.50,-1.34,-1.06,-1.43,-1.17,-0.88
-0.79,-1.09,-0.90,-1.27,-1.21,-1.47,-1.32,-1.05,-1.40,-1.17,-0.89
-0.75,-0.99,-0.89,-1.15,-0.65,-1.42,-1.26,-1.00,-1.36,-1.10,-0.77
-0.83,-1.01,-1.04,-1.25,-0.90,-1.45,-1.21,-1.01,-1.41,-1.09,-0.90
-0.58,-0.65,-0.56,-0.99,-0.12,-1.00,-0.86,-0.68,-1.01,-0.73,-0.63
-0.21,0.01,-0.39,-0.46,0.18,-1.18,-1.13,-0.69,-0.99,-1.07,-0.83
0.48,1.02,0.51,0.42,1.21,0.16,-0.38,-0.27,0.14,-0.03,-0.07
0.29,0.80,0.13,0.09,1.06,-0.29,-0.64,-0.66,-0.10,-0.12,-0.19
0.25,0.85,-0.02,0.01,1.10,-0.28,-0.51,-0.50,-0.00,0.06,0.02
0.21,0.79,-0.15,-0.08,1.00,-0.42,-0.62,-0.63,-0.07,-0.06,-0.08
0.01,0.73,-0.30,-0.10,0.90,-0.52,-0.69,-0.69,-0.18,-0.12,-0.14
0.09,0.60,-0.29,-0.15,0.74,-0.58,-0.71,-0.61,-0.22,-0.07,-0.08
0.08,0.62,-0.26,-0.23,0.69,-0.52,-0.63,-0.52,-0.33,-0.14,-0.15
0.06,0.57,-0.22,-0.40,0.40,-0.55,-0.55,-0.40,-0.45,-0.04,-0.07
0.07,0.43,-0.16,-0.21,0.25,-0.33,-0.38,-0.20,-0.52,0.05,-0.03
0.17,0.52,0.00,0.09,0.64,-0.39,-0.45,-0.20,-0.41,0.13,0.09
-0.09,0.12,-0.36,-0.33,0.11,-1.12,-1.09,-0.80,-0.94,-0.70,-0.66
0.04,-0.27,0.02,-0.42,0.17,-0.80,-0.73,-0.40,-0.89,-0.26,-0.15
-0.36,-0.90,-0.60,-0.74,-0.69,-1.19,-1.25,-0.90,-1.33,-1.19,-0.78
-0.11,-0.60,0.06,-0.39,-0.28,-0.78,-0.77,-0.25,-1.13,-0.66,-0.34
-0.35,-0.65,0.17,-0.25,-0.42,-0.73,-0.69,-0.22,-0.94,-0.52,-0.28
-0.33,-0.60,0.18,-0.23,-0.23,-0.46,-0.69,-0.22,-0.94,-0.51,-0.30
-0.35,-0.60,0.29,-0.23,-0.24,-0.52,-0.48,0.00,-0.88,-0.52,-0.30
-0.39,-0.47,0.42,-0.39,-0.39,-0.51,-0.30,0.09,-0.69,-0.50,-0.31
-0.43,-0.49,0.45,-0.13,0.26,0.02,0.57,0.91,0.11,0.07,0.18
-0.45,-0.35,0.68,-0.04,0.79,0.32,1.14,1.43,0.63,0.44,0.51
-0.40,-0.34,0.55,-0.00,1.70,1.14,1.49,1.74,1.22,0.69,0.73
-0.34,-0.33,0.58,-0.33,1.50,1.30,1.71,1.94,1.31,1.05,0.96
-0.34,-0.46,0.49,0.02,1.63,1.70,1.98,2.13,1.72,1.91,1.75
-1.08,-0.98,-0.59,-0.59,1.37,1.18,1.87,2.02,1.49,1.63,1.30
-1.29,-1.09,-0.93,-0.69,1.33,0.82,2.05,2.26,1.49,1.53,1.10
-2.12,-1.45,-1.44,-1.50,0.74,0.02,1.53,1.82,1.07,1.05,0.71
-1.55,-1.40,-1.55,-1.53,0.83,0.03,1.80,2.06,1.38,1.32,0.95
-1.55,-1.39,-1.54,-1.52,0.90,0.08,1.81,2.08,1.47,1.95,1.56
-1.55,-1.42,-1.55,-1.50,0.95,0.56,1.77,2.00,1.53,2.10,1.68
-1.55,-1.41,-1.55,-1.47,1.32,0.66,1.94,2.17,1.76,2.25,1.83
-1.55,-1.42,-1.54,-1.51,0.86,0.36,1.74,1.93,1.65,2.09,1.66
-1.55,-1.47,-1.55,-1.50,0.39,0.13,1.21,1.42,1.34,1.91,1.48
-1.55,-1.47,-1.55,-1.54,-0.83,-0.70,0.91,1.13,0.92,1.86,1.50
-1.55,-1.45,-1.54,-1.49,-0.32,-0.15,0.98,1.20,0.97,1.89,1.52
-1.55,-1.38,-1.50,-1.54,-1.16,-0.76,0.40,0.59,0.40,0.78,0.56
-1.55,-1.45,-1.55,-1.54,-1.20,-1.08,0.56,0.77,0.58,1.06,0.76
