lat,lng,rain
16.15,107.25,7.64
16.05,107.25,7.68
15.95,107.25,7.18
15.85,107.25,9.21
15.75,107.25,9.45
15.65,107.25,7.79
15.55,107.25,7.36
15.45,107.25,6.42
15.35,107.25,6.17
15.25,107.25,5.46
15.15,107.25,0
15.05,107.25,0
16.15,107.35,7.22
16.05,107.35,6.64
15.95,107.35,5.67
15.85,107.35,7.57
15.75,107.35,9.96
15.65,107.35,8.3
15.55,107.35,8.08
15.45,107.35,7.5
15.35,107.35,7.26
15.25,107.35,6.33
15.15,107.35,6.12
15.05,107.35,4.51
16.15,107.45,6.34
16.05,107.45,3.22
15.95,107.45,0.47
15.85,107.45,1.01
15.75,107.45,6.86
15.65,107.45,8.01
15.55,107.45,8.2
15.45,107.45,7.43
15.35,107.45,7.52
15.25,107.45,6.39
15.15,107.45,6.12
15.05,107.45,4.78
16.15,107.55,4.67
16.05,107.55,1.84
15.95,107.55,0.34
15.85,107.55,0.44
15.75,107.55,3.47
15.65,107.55,6.84
15.55,107.55,7.41
15.45,107.55,7.21
15.35,107.55,7.18
15.25,107.55,5.52
15.15,107.55,5.64
15.05,107.55,5.92
16.15,107.65,0
16.05,107.65,1.51
15.95,107.65,0.28
15.85,107.65,0.29
15.75,107.65,0.6
15.65,107.65,4.04
15.55,107.65,5.39
15.45,107.65,5.77
15.35,107.65,7.13
15.25,107.65,6.36
15.15,107.65,6.99
15.05,107.65,6.3
16.15,107.75,0
16.05,107.75,0
15.95,107.75,0.35
15.85,107.75,0.29
15.75,107.75,0.48
15.65,107.75,0.59
15.55,107.75,3.11
15.45,107.75,3.44
15.35,107.75,6.9
15.25,107.75,6.85
15.15,107.75,8.11
15.05,107.75,6.42
16.15,107.85,0
16.05,107.85,0.13
15.95,107.85,0.09
15.85,107.85,0.07
15.75,107.85,0.14
15.65,107.85,0.26
15.55,107.85,0.78
15.45,107.85,1.15
15.35,107.85,3.35
15.25,107.85,8.16
15.15,107.85,7.98
15.05,107.85,7.17
16.15,107.95,0
16.05,107.95,0.04
15.95,107.95,0.04
15.85,107.95,0.05
15.75,107.95,0.08
15.65,107.95,0.18
15.55,107.95,0.67
15.45,107.95,0.95
15.35,107.95,2.46
15.25,107.95,7.51
15.15,107.95,9.28
15.05,107.95,8.19
16.15,108.05,0
16.05,108.05,0
15.95,108.05,0.04
15.85,108.05,0.04
15.75,108.05,0.06
15.65,108.05,0.21
15.55,108.05,0.41
15.45,108.05,0.71
15.35,108.05,1.67
15.25,108.05,7.25
15.15,108.05,9.51
15.05,108.05,8.1
16.15,108.15,0
16.05,108.15,0
15.95,108.15,0
15.85,108.15,0
15.75,108.15,0
15.65,108.15,0.13
15.55,108.15,0.14
15.45,108.15,0.38
15.35,108.15,0.98
15.25,108.15,5.5
15.15,108.15,8.31
15.05,108.15,7.57
16.15,108.25,0
16.05,108.25,0
15.95,108.25,0
15.85,108.25,0
15.75,108.25,0
15.65,108.25,0
15.55,108.25,0
15.45,108.25,0
15.35,108.25,0
15.25,108.25,4.77
15.15,108.25,5.44
15.05,108.25,4.4
16.15,108.35,0
16.05,108.35,0
15.95,108.35,0
15.85,108.35,0
15.75,108.35,0
15.65,108.35,0
15.55,108.35,0
15.45,108.35,0
15.35,108.35,0
15.25,108.35,3.88
15.15,108.35,4.63
15.05,108.35,1.29
16.15,108.45,0
16.05,108.45,0
15.95,108.45,0
15.85,108.45,0
15.75,108.45,0
15.65,108.45,0
15.55,108.45,0
15.45,108.45,0
15.35,108.45,0
15.25,108.45,0
15.15,108.45,0
15.05,108.45,0
16.15,108.55,0
16.05,108.55,0
15.95,108.55,0
15.85,108.55,0
15.75,108.55,0
15.65,108.55,0
15.55,108.55,0
15.45,108.55,0
15.35,108.55,0
15.25,108.55,0
15.15,108.55,0
15.05,108.55,0
16.15,108.65,0
16.05,108.65,0
15.95,108.65,0
15.85,108.65,0
15.75,108.65,0
15.65,108.65,0
15.55,108.65,0
15.45,108.65,0
15.35,108.65,0
15.25,108.65,0
15.15,108.65,0
15.05,108.65,0
16.15,108.75,0
16.05,108.75,0
15.95,108.75,0
15.85,108.75,0
15.75,108.75,0
15.65,108.75,0
15.55,108.75,0
15.45,108.75,0
15.35,108.75,0
15.25,108.75,0
15.15,108.75,0
15.05,108.75,0
